employer_name;reviews_count;culture_count;salaries_count;benefits_count;employer_website;employer_headquarters;employer_founded;employer_industry;employer_revenue;url;geral;cultura_e_valores;diversidade_e_inclusão;qualidade_de_vida;alta_liderança;remuneração_e_benefícios;oportunidades_de_carreira;recomendam_para_outras_pessoas;perspectiva_positiva_da_empresa;segmento;nome;match_percent;nome_normalizado;cnpj;Nome_Bancos;ano;trimestre;categoria;tipo;instituição_financeira;índice;quantidade_de_reclamações_reguladas_procedentes;quantidade_de_reclamações_reguladas___outras;quantidade_de_reclamações_não_reguladas;quantidade_total_de_reclamações;quantidade_total_de_clientes__ccs_e_scr;quantidade_de_clientes__ccs;quantidade_de_clientes__scr
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;BNP PARIBAS (conglomerado);181,98;447;250;90;787;2456247;12581;2444170
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2021;2º;Demais bancos e financeiras;Conglomerado;BNP PARIBAS (conglomerado);192,10;456;268;94;818;2373655;11796;2362365
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2021;3º;Demais bancos e financeiras;Conglomerado;BNP PARIBAS (conglomerado);125,22;286;493;117;896;2283925;11993;2272412
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2021;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNP PARIBAS (conglomerado);134,90;302;385;61;748;2238538;12083;2226945
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2022;1º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNP PARIBAS (conglomerado);79,87;173;313;58;544;2165958;11882;2154555
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2022;3º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNP PARIBAS (conglomerado);42,48;87;279;74;440;2047673;11438;2036674
BNP Paribas;13000;4100;20000;3600;http://www.group.bnpparibas;Paris, França;2000.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Mais de US$ 10 bilhões;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BNP-Paribas-EI_IE10342.13,24.htm;3.8;3.7;4.0;3.8;3.4;3.4;3.5;77.0;63.0;S3;BNP PARIBAS;100;BNPPARIBAS;01522368;BNP PARIBAS - PRUDENCIAL;2022;4º;Demais Bancos, Financeiras e Instituições de Pagamento;Conglomerado;BNP PARIBAS (conglomerado);32,84;63;278;50;391;1917938;10966;1907365
BTG Pactual;1600;683;2800;635;http://www.btgpactual.com;São Paulo, Brasil;nan;/Explorar/melhores-gestão-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-BTG-Pactual-EI_IE411540.13,24.htm;4.0;3.7;3.5;2.8;3.7;4.4;4.2;78.0;73.0;S1;BTG PACTUAL;100;BTGPACTUAL;30306294;BTG PACTUAL - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;BTG PACTUAL (conglomerado); ;29;44;60;133;766998;679113;147461
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2021;1º;Grupo Secundário;Conglomerado;ALFA (conglomerado); ;14;44;15;73;412135;268186;145105
Banco Alfa;175;74;271;105;http://www.alfanet.com.br;São Paulo, Brasil;1925.0;/Explorar/melhores-serviços-bancários-e-de-crédito-empresas_II.9,40_IIND200048.htm;Desconhecida/não se aplica;https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Banco-Alfa-EI_IE817306.13,23.htm;3.5;3.2;3.2;3.1;2.8;3.8;2.7;68.0;47.0;S3;ALFA;100;ALFA;60770336;ALFA - PRUDENCIAL;2021;2º;Demais bancos e financeiras;Conglomerado;ALFA (conglomerado); ;19;32;16;67;416540;268174;149521
